Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
103.9002743,42.18803783,-70.9903169,996.6701423,967.4831543,107.4599991,218.3000031,11.73051048,9.935046196,2.5,22
104.9009356,42.18727636,-70.99110233,991.5961078,962.4067383,106.8300018,218,11.8378384,9.935046196,2.674296856,22
105.9068222,42.18658871,-70.99201648,986.0267175,956.835083,107.4300003,224.3000031,11.9448575,9.935046196,2.5,22
106.8987627,42.18589985,-70.9929236,980.4686793,951.2747803,107.0100021,225.8000031,12.05175246,9.935046196,2.535407066,23
107.9027362,42.18524651,-70.99387532,974.3326946,945.1365967,106.7799988,228.3999939,12.16002767,9.935046196,2.5,22
108.9025744,42.18457699,-70.99482953,967.1530518,937.9547119,108.0400009,227.3000031,12.26727164,9.935046196,2.793387175,22
109.9003463,42.18395129,-70.99582005,960.231008,931.0305176,107.3399963,229.1999969,12.37396734,10.22001648,3.618943691,23
110.8979055,42.18335959,-70.99683947,956.5524241,927.3498535,107.2799988,231,12.47652091,10.92010021,4.638094902,22
111.9044399,42.18284942,-70.99787636,950.9793548,921.7749023,103.8199997,234,12.58498542,11.16664314,5.166656494,22
112.9046026,42.18235626,-70.99901211,947.6108873,918.404541,107.5699997,236.5,12.69438976,11.40056133,5.639852047,23
113.8974989,42.18187958,-71.00017365,942.7693679,913.5611572,108.2099991,238.3000031,12.80385656,11.65459347,5.755764484,23
114.8995075,42.18150041,-71.00139968,941.5418811,912.3320313,108.8899994,242.1999969,12.91589226,12.02855396,5.617580414,23
115.9025143,42.18114427,-71.0026716,937.7534473,908.5419922,109.6600037,244.6000061,13.02512258,12.32690525,5.742714405,23
116.8948209,42.18076989,-71.00389719,936.8588334,907.645752,109.9499969,245.6000061,13.1271683,13.21120358,6.103523254,23
117.9020942,42.18052255,-71.0050898,934.3448582,905.1304932,106.6500015,248.3000031,13.23418485,13.23178291,5.973879814,23
118.8986117,42.18027212,-71.00634382,933.0633462,903.8476563,107.6600037,250.1000061,13.34171264,13.54464722,5.738175869,21
119.9010697,42.17994797,-71.00757328,932.8700218,903.652832,108.5400009,249.6000061,13.45417229,14.73758698,6.182786465,21
120.8985055,42.17995851,-71.00893801,928.8529181,899.6350098,107.4800034,256.3999939,13.56142609,13.9414978,5.998378277,21
121.8979487,42.17993594,-71.01023928,928.3318359,899.1131592,107.1200027,259.6000061,13.66878391,13.85272789,5.785784245,22
122.8991206,42.17980901,-71.01153086,929.2128705,899.9931641,106.75,259.2999878,13.77485142,14.31284904,5.685326576,22
123.906474,42.17972224,-71.01281275,929.5873274,900.3666992,106.0899963,260.7999878,13.88208113,15.0734148,5.679656506,22
124.8983209,42.179687,-71.01411321,930.5290457,901.3076172,106.0999985,262.5,13.9875911,15.62293148,5.570383549,23
125.8974402,42.17961189,-71.01538965,930.7907989,901.5684814,105.3000031,262.7999878,14.10206719,17.48775482,5.940209389,23
126.9003303,42.17989395,-71.01672576,927.9772099,898.7548828,105,269.2999878,14.20608627,16.11164665,6.268991947,24
127.9022371,42.17985475,-71.01798702,927.6503621,898.4272461,103.7399979,267.1000061,14.37178993,18.06397057,6.165507793,24
128.9015636,42.18087017,-71.01945888,923.639907,894.4185791,113.6900024,285.8999939,14.48130206,12.33489799,5.5465765,23
129.8986043,42.18113503,-71.02073897,921.0362927,891.8149414,108.9499969,283.6000061,14.59062562,11.59762669,5.365535259,24
130.9011454,42.18139369,-71.022019,920.3861855,891.1647949,109.3099976,284.6000061,14.69960349,11.02878761,4.905889511,24
131.8974453,42.18165936,-71.02329206,920.070041,890.8486328,109.3700027,285.2999878,14.80955505,10.68213463,4.497434616,24
132.8989816,42.18193784,-71.02457245,918.8849716,889.6635742,109.3300018,285.5,14.92048376,10.45648956,4.149477482,24
133.9010085,42.18223058,-71.02585945,915.7145179,886.4931641,109.7300034,286.3999939,15.03023539,10.3243742,3.983842373,24
134.9072313,42.18251939,-71.02713314,914.708862,885.4875488,109.5800018,286.6000061,15.13889804,10.15715027,3.62270689,24
135.8977495,42.18279903,-71.02839677,913.5685805,884.34729,109.3199997,286.8999939,15.24865981,10.07769966,3.421914101,24
136.8965601,42.18309097,-71.0296693,911.9104504,882.689209,109.0800018,287.1000061,15.35660427,10.0210743,3.332242727,24
137.8970962,42.18338464,-71.03091799,910.4422444,881.2210693,108.5899963,287.2999878,15.464544,9.968050003,3.223273277,24
138.8980875,42.18367024,-71.03217003,910.2443246,881.0231934,108.3600006,287.2999878,15.57244308,9.935046196,3.192167759,24
139.8992732,42.18397688,-71.03341246,909.1858724,879.9648438,107.7699966,287.7000122,15.67938769,9.935046196,3.02650094,23
140.9066813,42.18425762,-71.03465389,909.0044389,879.7834473,107.4300003,287.6000061,15.7872876,9.935046196,2.888781786,24
141.9012681,42.18456315,-71.03589684,908.9557557,879.7348633,106.9700012,287.7999878,15.89395238,9.935046196,2.903229237,25
142.8986659,42.18486289,-71.03712659,907.5940918,878.373291,106.6200027,287.7999878,16.0002466,9.935046196,2.790847063,24
143.9011126,42.1851629,-71.03835149,907.6198759,878.3991699,106.2200012,287.8999939,16.105815,9.935046196,2.728559256,24
144.9031073,42.18545664,-71.0395699,908.1786316,878.9580078,105.9100037,287.8999939,16.2112295,9.935046196,2.705342054,23
145.9000773,42.1857512,-71.04078599,908.1792785,878.9587402,105.5100021,288,16.31718357,9.935046196,2.770270586,23
146.8951557,42.18605394,-71.04200533,907.3591057,878.1386719,105.3499985,288.1000061,16.42258214,9.935046196,2.919627666,23
147.9060645,42.18636344,-71.04321445,906.7925723,877.5722656,105.2799988,288.7999878,16.52765274,9.935046196,2.867238283,23
148.8995437,42.18667222,-71.0444197,906.4735974,877.253418,104.9400024,289.7999878,16.63334575,9.935046196,2.755199671,24
149.8984509,42.18700763,-71.04562,906.3505969,877.1306152,105.3899994,290.8999939,16.73828565,9.935046196,2.793055058,24
150.8983676,42.18736456,-71.04679908,906.5577303,877.3380127,105.2200012,292.6000061,16.84367533,9.935046196,2.840648174,24
151.8989941,42.18774753,-71.04796916,907.1295387,877.9101563,105.5100021,294.6000061,16.94908271,9.935046196,2.95872879,24
152.901756,42.18816556,-71.04911742,907.3538338,878.1348877,105.8199997,296.8999939,17.0546487,9.935046196,3.097053051,24
153.8997629,42.18862117,-71.05024154,906.9430104,877.7246094,106.2699966,299.5,17.1610944,9.935046196,3.171242237,25
154.8966455,42.18911396,-71.0513492,905.8461703,876.628418,106.1999969,301.6000061,17.2677229,9.935046196,3.207334518,25
155.8978347,42.18963829,-71.05243282,904.2587584,875.041748,106.8199997,304.1000061,17.37399132,9.953339577,3.269004345,25
156.9025456,42.19018856,-71.05348742,903.1715088,873.9553223,106.5,305.7999878,17.48167408,10.05167675,3.554721117,24
157.9015498,42.19078799,-71.05451398,899.2972537,870.0820313,107.7300034,309.1000061,17.58979166,10.02713776,3.532112598,23
158.911515,42.19142325,-71.0555075,894.785194,865.5710449,108.5299988,311.8999939,17.69714014,9.970152855,3.42431426,23
159.8997794,42.19205539,-71.05649233,891.1039483,861.8908691,107.8700027,311.3999939,17.8028214,10.16663551,4.070938587,23
160.9000746,42.1927017,-71.05743285,884.6955917,855.4836426,106.6399994,312.3999939,17.91477546,11.11349583,5.673522949,23
161.9020158,42.19351399,-71.05823578,882.2770936,853.0667725,109.9499969,321.6000061,18.02439751,10.20590591,4.283175945,24
162.9066893,42.19428271,-71.05906889,877.964192,848.7553711,108.7900009,321.7999878,18.13327823,10.12384033,4.195807934,23
163.898308,42.19507408,-71.05984725,873.019489,843.8122559,108.6399994,324.8999939,18.2415365,10.04427528,4.11517334,24
164.8997306,42.1958784,-71.06058772,869.4504649,840.244873,108.3799973,326.8999939,18.34840994,10.08136463,4.248210907,24
165.8969168,42.19668548,-71.06129221,867.6768244,838.4729004,107.5299988,327.2999878,18.4583897,10.35100842,4.665054321,24
166.902723,42.19752061,-71.06200751,868.2833676,839.0811768,109.5800018,327.6000061,18.56935604,11.14586449,5.003071308,24
167.9064781,42.1983726,-71.06270891,868.3890059,839.1885986,110.6399994,328.2000122,18.68036222,12.40130711,5.355686665,24
168.8978634,42.19922206,-71.06341681,868.092677,838.894043,111.1399994,328.2999878,18.79039999,13.05670261,5.434430122,22
169.9017142,42.2001586,-71.06384832,865.7130889,836.5166016,109.5599976,333.6000061,18.896536,12.48194218,5.252528667,21
170.8999318,42.20104616,-71.06432235,864.2943424,835.0998535,107.9899979,334.7000122,18.9982791,12.71874714,5.16527462,21
171.8996488,42.20192338,-71.0646736,860.03034,830.8378906,104.8300018,338.2000122,19.10800886,11.7924099,5.022919178,20
172.9008726,42.20284058,-71.0651651,855.9889693,826.798584,107.6299973,338.3999939,19.21735915,11.07146168,4.816085815,20
173.8990218,42.20376585,-71.0656148,847.2212369,818.032959,107.9100037,339.5,19.32568783,10.78469467,4.712710381,22
174.9032092,42.204681,-71.0660658,842.9792879,813.7930908,107.4400024,339.5,19.43392358,10.65879726,4.811188698,22
175.9007318,42.20560527,-71.06647795,835.6491597,806.4650879,107.6200027,340.7999878,19.54203374,10.58449745,4.434078217,23
176.9016066,42.20652806,-71.06689129,830.3018241,801.119873,107.4499969,341.5,19.64891942,10.60906029,4.142950058,23
177.8967666,42.207439,-71.0673056,826.0548612,796.875,107.2799988,342.3999939,19.75706852,10.4510355,4.218641758,22
178.8992157,42.20837227,-71.06767526,820.8961958,791.7185059,107.5699997,343.5,19.86464106,10.39534092,4.162250042,22
179.8909119,42.20930728,-71.06801051,815.5849193,786.4094238,107.4899979,344.5,19.97228265,10.43427181,4.17794466,23
180.8971592,42.21024425,-71.06833899,810.6288588,781.4555664,107.5599976,345.8999939,20.08094755,10.39557266,3.990933657,23
181.8964977,42.21119757,-71.06862916,804.9105287,775.739502,107.6999969,347.2999878,20.18912203,10.32398319,3.833076,24
182.8887479,42.21214839,-71.06890701,799.5171493,770.3483887,107.3099976,347.8999939,20.29626328,10.31917286,3.783046007,24
183.8937279,42.21309321,-71.06916223,794.8089535,765.6424561,107.1200027,349,20.40461922,10.42590141,3.680000544,25
184.8983798,42.21405716,-71.06935502,791.01962,761.8554688,107.7699966,351.7000122,20.5117823,10.20299625,3.473211288,24
185.898213,42.21501209,-71.06953057,787.3706808,758.2088623,107.6999969,352.8999939,20.61934644,10.11387825,3.379819155,26
186.9010407,42.21597368,-71.06967286,783.2092551,754.0498047,107.7300034,354.2999878,20.72760572,9.939128876,3.304632425,25
187.9021618,42.21694317,-71.06979351,778.7722848,749.6152344,107.7099991,355.7000122,20.83518586,9.935046196,3.28043437,24
188.903023,42.217908,-71.06989034,774.4435896,745.2889404,107.8099976,356.8999939,20.94340434,9.935046196,3.38556838,24
189.9018014,42.21888058,-71.06993844,769.3147989,740.1625977,108.0100021,358.2999878,21.05126374,9.935046196,3.424209118,23
190.9006127,42.21985045,-71.06996012,764.3477437,735.197998,108,359.7000122,21.15941272,9.935046196,3.518701553,23
191.9008011,42.22082301,-71.06994718,759.1145492,729.9672852,107.8799973,1,21.26756611,10.05736637,3.533243179,23
192.9006979,42.22179489,-71.06989504,753.7210564,724.5762939,108.0800018,2.799999952,21.37548547,9.935046196,3.438752413,24
193.9062263,42.22276407,-71.06982563,749.2640844,720.1218262,108.0299988,4.199999809,21.48380636,9.935046196,3.433598518,24
194.9014347,42.22373483,-71.06971593,744.8294249,715.6896973,108.1200027,5.5,21.59220575,9.935046196,3.364578485,24
195.8997657,42.2247037,-71.06957023,739.9362541,710.7990723,108.1299973,6.800000191,21.70025284,9.935046196,3.202266455,24
196.9114109,42.2256662,-71.06939018,735.4786274,706.3439941,108.0899963,7.900000095,21.8084764,9.935046196,3.032536268,23
197.8982909,42.22662849,-71.06919324,731.6332964,702.5012207,107.9100037,8.800000191,21.9172344,9.935046196,3.181876421,23
198.896701,42.22759274,-71.06897187,726.8926832,697.7631836,108.1600037,10,22.02540095,9.935046196,3.028546333,24
199.9009832,42.22854984,-71.06873706,723.3520318,694.2250977,108.1100006,10.80000019,22.13353072,9.935046196,3.016084671,25
200.9013596,42.22950392,-71.06848311,719.0926275,689.9682617,108.0199966,11.5,22.24126927,9.935046196,3.206524134,25
201.8985559,42.23045151,-71.06821008,714.4684828,685.3466797,107.9499969,12.19999981,22.34956514,9.935046196,3.228274822,24
202.9010162,42.23140185,-71.06792235,709.8111199,680.6918945,107.9800034,12.89999962,22.45796165,9.935046196,3.708771467,24
203.8891146,42.23234965,-71.06761445,705.3803145,676.2636719,107.9599991,13.69999981,22.56573992,9.935046196,3.217277765,25
204.893971,42.23329155,-71.06730554,700.1243283,671.0102539,107.8799973,14.10000038,22.67399321,9.935046196,3.09073329,25
205.8983235,42.23423538,-71.06698316,697.0504584,667.9389648,107.7799988,14.60000038,22.78194946,9.935046196,2.884260416,24
206.8962984,42.23517403,-71.06664813,691.3840653,662.2751465,107.6800003,15.10000038,22.89001164,9.935046196,2.63706851,25
207.8980189,42.23611192,-71.06630429,686.5555598,657.4492188,107.6100006,15.60000038,22.99804503,9.935046196,2.591058254,25
208.8984579,42.23704565,-71.06594164,682.3754918,653.2717285,107.5,16,23.10538243,9.935046196,2.5,25
209.8973813,42.23797307,-71.06557994,678.0692195,648.9680176,107.4700012,16.29999924,23.2127125,9.935046196,2.5,25
210.8966733,42.23889858,-71.06520973,674.111458,645.0128174,107.3399963,16.39999962,23.32010278,9.935046196,2.5,25
211.8967433,42.2398243,-71.0648379,670.3834313,641.2873535,107.3199997,16.60000038,23.42712913,9.935046196,2.5,26
212.8924364,42.24074779,-71.06447147,665.8880792,636.7945557,107.0800018,16.60000038,23.53407761,9.935046196,2.5,26
213.9061889,42.2416702,-71.06410343,661.6595745,632.5686035,106.7300034,16.70000076,23.64054911,9.935046196,2.5,24
214.9032562,42.24258689,-71.06372976,656.6940206,627.6055908,106.4899979,16.79999924,23.74724699,9.935046196,2.5,25
215.9071091,42.2435055,-71.06335516,652.5631779,623.4772949,106.1999969,17,23.85322684,9.935046196,2.5,26
216.8987444,42.24441811,-71.06298389,648.3675329,619.2841797,105.9400024,17.10000038,23.95865538,9.935046196,2.599351168,26
217.9001436,42.24532102,-71.06259302,642.995388,613.9145508,105.5299988,17.39999962,24.06433411,9.935046196,3.005674362,26
218.8988931,42.24622873,-71.0622126,638.5055607,609.4272461,105.3499985,17.39999962,24.16960071,9.935046196,2.781611204,26
219.8948368,42.24713111,-71.06182595,633.9920617,604.9162598,104.9899979,17.70000076,24.27466693,9.935046196,2.648583651,26
